questionnaire_id,stakeholder,is_group_level,bias_type,domain,stakeholder_raw,harm,votes,llm,total_votes,vote_share
1,Applicant,False,Representation,Hiring,Applicant,Opportunity Loss,0,1,0,
1,Applicant,False,Representation,Hiring,Applicant,Economic Loss,0,1,0,
1,Applicant,True,Representation,Hiring,Applicant Group,Stereotyping,0,1,0,
1,Applicant,True,Representation,Hiring,Applicant Group,Erasure,0,1,0,
1,Applicant,False,Algorithmic,Hiring,Applicant,Opportunity Loss,0,1,0,
1,Applicant,False,Algorithmic,Hiring,Applicant,Service Or Benefit Loss,0,1,0,
1,Applicant,True,Algorithmic,Hiring,Applicant Group,Demeaning,0,1,0,
1,Applicant,True,Algorithmic,Hiring,Applicant Group,Alienation,0,1,0,
2,Applicant,False,Measurement,Hiring,Applicant,Opportunity Loss,0,1,0,
2,Applicant,False,Measurement,Hiring,Applicant,Service Or Benefit Loss,0,1,0,
2,Applicant,True,Measurement,Hiring,Applicant Group,Demeaning,0,1,0,
2,Applicant,True,Measurement,Hiring,Applicant Group,Reifying Categories,0,1,0,
2,Applicant,False,Deployment,Hiring,Applicant,Opportunity Loss,0,1,0,
2,Applicant,False,Deployment,Hiring,Applicant,Service Or Benefit Loss,0,1,0,
2,Applicant,True,Deployment,Hiring,Applicant Group,Erasure,0,1,0,
2,Applicant,True,Deployment,Hiring,Applicant Group,Alienation,0,1,0,
3,Developer,False,Representation,Diagnosis,Developer,Increased Labor,0,1,0,
3,Developer,False,Representation,Diagnosis,Developer,Diminished Health and Well-Being,0,1,0,
3,Developer,False,Algorithmic,Hiring,Developer,Increased Labor,0,1,0,
3,Developer,False,Algorithmic,Hiring,Developer,Diminished Health and Well-Being,0,1,0,
4,Developer,False,Measurement,Diagnosis,Developer,Increased Labor,0,1,0,
4,Developer,False,Measurement,Diagnosis,Developer,Diminished Health and Well-Being,0,1,0,
4,Developer,False,Deployment,Hiring,Developer,Increased Labor,0,1,0,
4,Developer,False,Deployment,Hiring,Developer,Loss Of Agency Or Control,0,1,0,
5,Healthcare Institution,False,Representation,Diagnosis,Healthcare Institution,Economic Loss,0,1,0,
5,Healthcare Institution,False,Representation,Diagnosis,Healthcare Institution,Increased Labor,0,1,0,
5,Company,False,Algorithmic,Hiring,Company,Opportunity Loss,0,1,0,
5,Company,False,Algorithmic,Hiring,Company,Service Or Benefit Loss,0,1,0,
6,Healthcare Institution,False,Measurement,Diagnosis,Healthcare Institution,Economic Loss,0,1,0,
6,Healthcare Institution,False,Measurement,Diagnosis,Healthcare Institution,Increased Labor,0,1,0,
6,Company,False,Deployment,Hiring,Company,Opportunity Loss,0,1,0,
6,Company,False,Deployment,Hiring,Company,Economic Loss,0,1,0,
7,Applicant,False,Evaluation,Hiring,Applicant,Opportunity Loss,0,1,0,
7,Applicant,False,Evaluation,Hiring,Applicant,Alienation,0,1,0,
7,Applicant,True,Evaluation,Hiring,Applicant group,Erasure,0,1,0,
7,Applicant,True,Evaluation,Hiring,Applicant group,Reifying Categories,0,1,0,
7,Patient,False,Evaluation,Diagnosis,Patient,Opportunity Loss,0,1,0,
