,SUMS
"Questionnaire 1 (Applicant, Representation)/Hiring",
Opportunity Loss:,10
Economic Loss:,4
Alienation:,2
Increased Labor:,3
Service or Benefit Loss:,6
Loss of Agency or Control:,7
Technology-Facilitated Violence: ,0
Diminished Health and Well-Being:,3
Privacy Violation:,0
,0
"Questionnaire 1 (Applicant Group, Representation)/Hiring",0
Stereotyping,8
Demeaning,6
Erasing.,6
Denying self-identity,4
Reifying categories,3
Alienation,2
None,2
,0
"Questionnaire 1 (Applicant, Algorithmic)/Hiring",0
Opportunity Loss:,7
Economic Loss:,7
Alienation:,1
Increased Labor:,6
Service or Benefit Loss:,8
Loss of Agency or Control:,3
Technology-Facilitated Violence: ,0
Diminished Health and Well-Being:,1
Privacy Violation:,0
,0
"Questionnaire 1 (Applicant Group, Algorithmic)/Hiring",0
Stereotyping,5
Demeaning,8
Erasing.,3
Denying self-identity,4
Reifying categories,1
Alienation,2
None,5
,0
"Questionnaire 2 (Applicant, Measurement)/Hiring",0
Opportunity Loss:,12
Economic Loss:,2
Alienation:,2
Increased Labor:,5
Service or Benefit Loss:,1
Loss of Agency or Control:,2
Technology-Facilitated Violence: ,0
Diminished Health and Well-Being:,8
Privacy Violation:,1
,0
"Questionnaire 2 (Applicant Group, Measurement)/Hiring",0
Stereotyping,5
Demeaning,8
Erasing.,2
Denying self-identity,5
Reifying categories,1
Alienation,5
None,4
,0
"Questionnaire 2 (Applicant, Deployment)/Hiring",0
Opportunity Loss:,7
Economic Loss:,2
Alienation:,5
Increased Labor:,1
Service or Benefit Loss:,6
Loss of Agency or Control:,3
Technology-Facilitated Violence: ,1
Diminished Health and Well-Being:,6
Privacy Violation:,1
,0
"Questionnaire 2 (Applicant Group, Deployment)/Hiring",0
Stereotyping,6
Demeaning,6
Erasing.,5
Denying self-identity,1
Reifying categories,2
Alienation,3
None,5
,0
"Questionnaire 3 (Developer, Representation)/Diagnosis",0
Opportunity Loss:,2
Economic Loss:,2
Alienation:,4
Increased Labor:,5
Service or Benefit Loss:,5
Loss of Agency or Control:,1
Technology-Facilitated Violence: ,2
Diminished Health and Well-Being:,11
Privacy Violation:,0
,0
"Questionnaire 3 (Developer, Algorithmic)/Hiring",0
Opportunity Loss:,8
Economic Loss:,2
Alienation:,2
Increased Labor:,5
Service or Benefit Loss:,6
Loss of Agency or Control:,6
Technology-Facilitated Violence: ,0
