bias_type,harm,observed,expected,z,p,stars
evaluation,loss of agency or control,0,4.15,-2.432,0.015008,**
algorithmic,service or benefit loss,9,5.138,2.07,0.038434,**
measurement,privacy violation,3,1.114,2.017,0.043684,**
representation,loss of agency or control,1,4.275,-1.898,0.05764,*
algorithmic,diminished health and well-being,4,7.904,-1.778,0.075449,*
representation,diminished health and well-being,12,8.144,1.736,0.082495,*
algorithmic,loss of agency or control,7,4.15,1.671,0.094803,*
measurement,alienation,1,3.713,-1.663,0.096358,*
evaluation,economic loss,3,1.383,1.568,0.116917,
deployment,alienation,7,4.311,1.558,0.119168,
measurement,service or benefit loss,2,4.826,-1.552,0.12078,
evaluation,technology-facilitated violence,0,1.581,-1.438,0.150293,
deployment,opportunity loss,0,1.509,-1.417,0.15649,
deployment,loss of agency or control,7,4.527,1.404,0.160446,
algorithmic,economic loss,0,1.383,-1.341,0.179797,
evaluation,increased labor,9,6.323,1.322,0.186287,
algorithmic,technology-facilitated violence,3,1.581,1.291,0.196572,
measurement,loss of agency or control,6,3.898,1.262,0.207085,
representation,privacy violation,0,1.222,-1.261,0.207184,
algorithmic,privacy violation,0,1.186,-1.238,0.215711,
deployment,service or benefit loss,4,5.605,-0.833,0.404883,
measurement,diminished health and well-being,9,7.425,0.734,0.462706,
deployment,diminished health and well-being,7,8.623,-0.715,0.474301,
deployment,privacy violation,2,1.293,0.714,0.474956,
measurement,opportunity loss,2,1.299,0.696,0.486554,
algorithmic,increased labor,5,6.323,-0.653,0.513479,
evaluation,opportunity loss,2,1.383,0.598,0.54977,
representation,opportunity loss,2,1.425,0.551,0.581457,
representation,economic loss,2,1.425,0.551,0.581457,
deployment,economic loss,1,1.509,-0.478,0.632687,
evaluation,service or benefit loss,6,5.138,0.462,0.643949,
measurement,technology-facilitated violence,1,1.485,-0.452,0.651261,
deployment,increased labor,6,6.898,-0.429,0.66759,
algorithmic,opportunity loss,1,1.383,-0.372,0.710163,
representation,technology-facilitated violence,2,1.629,0.334,0.738325,
measurement,economic loss,1,1.299,-0.297,0.766199,
representation,increased labor,6,6.515,-0.251,0.801467,
deployment,technology-facilitated violence,2,1.725,0.243,0.808231,
evaluation,privacy violation,1,1.186,-0.194,0.846309,
representation,service or benefit loss,5,5.293,-0.156,0.87641,
evaluation,diminished health and well-being,8,7.904,0.044,0.965203,
representation,alienation,4,4.072,-0.043,0.966076,
measurement,increased labor,6,5.94,0.03,0.975843,
algorithmic,alienation,4,3.952,0.029,0.977126,
evaluation,alienation,4,3.952,0.029,0.977126,
