bias_type,harm,observed,expected,z,p,stars
deployment,alienation,8,3.563,2.79,0.005273,***
evaluation,service or benefit loss,9,4.743,2.369,0.017841,**
evaluation,alienation,0,3.665,-2.281,0.022571,**
deployment,increased labor,3,1.048,2.178,0.029423,**
algorithmic,alienation,6,2.952,2.059,0.039489,**
representation,alienation,0,3.054,-2.036,0.041769,**
deployment,service or benefit loss,1,4.611,-2.03,0.042374,**
algorithmic,economic loss,0,1.91,-1.573,0.1157,
deployment,loss of agency or control,5,2.934,1.417,0.15641,
algorithmic,diminished health and well-being,12,9.03,1.31,0.190115,
representation,increased labor,2,0.898,1.303,0.192505,
evaluation,economic loss,4,2.371,1.236,0.216603,
measurement,increased labor,0,1.108,-1.211,0.22582,
evaluation,increased labor,0,1.078,-1.19,0.233988,
representation,privacy violation,1,0.359,1.187,0.235105,
algorithmic,service or benefit loss,2,3.82,-1.1,0.271547,
representation,technology-facilitated violence,0,0.898,-1.062,0.288056,
algorithmic,increased labor,0,0.868,-1.041,0.297993,
deployment,opportunity loss,6,8.174,-0.977,0.328667,
measurement,technology-facilitated violence,2,1.108,0.976,0.32931,
measurement,privacy violation,1,0.443,0.954,0.340124,
representation,economic loss,3,1.976,0.832,0.405353,
deployment,diminished health and well-being,9,10.898,-0.779,0.435759,
evaluation,privacy violation,0,0.431,-0.746,0.455763,
deployment,privacy violation,0,0.419,-0.733,0.463791,
evaluation,opportunity loss,10,8.407,0.708,0.478659,
evaluation,loss of agency or control,2,3.018,-0.691,0.489433,
algorithmic,privacy violation,0,0.347,-0.652,0.514263,
representation,service or benefit loss,5,3.952,0.625,0.532254,
evaluation,diminished health and well-being,10,11.21,-0.492,0.623034,
representation,opportunity loss,8,7.006,0.474,0.635788,
measurement,alienation,3,3.766,-0.472,0.636707,
representation,loss of agency or control,2,2.515,-0.375,0.707985,
algorithmic,opportunity loss,6,6.772,-0.373,0.709172,
measurement,economic loss,2,2.437,-0.328,0.74264,
algorithmic,loss of agency or control,2,2.431,-0.318,0.750643,
deployment,economic loss,2,2.305,-0.234,0.814929,
measurement,diminished health and well-being,12,11.521,0.193,0.847144,
algorithmic,technology-facilitated violence,1,0.868,0.158,0.874531,
measurement,opportunity loss,9,8.641,0.158,0.874272,
representation,diminished health and well-being,9,9.341,-0.149,0.881885,
evaluation,technology-facilitated violence,1,1.078,-0.086,0.931502,
measurement,service or benefit loss,5,4.874,0.069,0.944767,
measurement,loss of agency or control,3,3.102,-0.068,0.945434,
deployment,technology-facilitated violence,1,1.048,-0.053,0.95738,
