bias_type,harm,observed,expected,z,p,stars
evaluation,reifying categories,10,3.938,3.669,0.000243,****
representation,erasure,7,4.125,1.699,0.089403,*
evaluation,none,1,3.719,-1.687,0.091564,*
representation,stereotyping,9,5.981,1.531,0.125736,
algorithmic,reifying categories,1,3.375,-1.522,0.127907,
deployment,erasure,6,3.75,1.378,0.168201,
evaluation,erasure,2,4.375,-1.373,0.169649,
evaluation,alienation,7,4.594,1.363,0.172963,
deployment,denying self-identity,1,3.0,-1.35,0.176914,
representation,alienation,2,4.331,-1.349,0.177356,
measurement,erasure,2,4.0,-1.195,0.231998,
algorithmic,none,5,3.188,1.191,0.233523,
deployment,none,5,3.188,1.191,0.233523,
measurement,denying self-identity,5,3.2,1.186,0.23568,
evaluation,stereotyping,4,6.344,-1.164,0.244625,
measurement,reifying categories,2,3.6,-1.001,0.316932,
evaluation,denying self-identity,2,3.5,-0.956,0.33898,
representation,none,2,3.506,-0.955,0.339553,
representation,demeaning,6,8.044,-0.93,0.352326,
deployment,reifying categories,2,3.375,-0.881,0.378105,
algorithmic,demeaning,9,7.312,0.796,0.425975,
algorithmic,denying self-identity,4,3.0,0.675,0.499574,
deployment,demeaning,6,7.312,-0.619,0.535793,
algorithmic,alienation,3,3.938,-0.562,0.573882,
measurement,demeaning,9,7.8,0.552,0.580672,
measurement,alienation,5,4.2,0.468,0.63961,
algorithmic,erasure,3,3.75,-0.459,0.645993,
representation,denying self-identity,4,3.3,0.456,0.648456,
representation,reifying categories,3,3.712,-0.441,0.659516,
measurement,stereotyping,5,5.8,-0.41,0.681479,
measurement,none,4,3.4,0.385,0.70037,
deployment,stereotyping,6,5.438,0.296,0.767415,
algorithmic,stereotyping,5,5.438,-0.23,0.818066,
evaluation,demeaning,9,8.531,0.209,0.834613,
deployment,alienation,4,3.938,0.037,0.970095,
