bias_a,bias_b,chi2,df,p_value,perm_p,cramers_v,cohens_w,N,q_value
measurement,representation,4.617293894830659,7,0.7065509508571662,0.9856028794241152,0.2728964678677393,0.2728964678677393,62,0.8408660546159569
deployment,evaluation,11.298233690912262,7,0.12612889772672936,0.9864027194561088,0.4303683837744823,0.4303683837744823,61,0.6544413351300207
algorithmic,evaluation,5.828485850569184,7,0.5599130517084161,0.9868026394721056,0.2865158809001984,0.2865158809001984,71,0.8408660546159569
deployment,representation,8.948218277449048,7,0.25639518455391436,0.9876024795040992,0.39973692861343746,0.39973692861343746,56,0.6544413351300207
evaluation,representation,5.271777929672667,7,0.6268347521322071,0.9892021595680864,0.2847881244734723,0.2847881244734723,65,0.8408660546159569
deployment,measurement,8.874716429403929,7,0.2617765340520083,0.9912017596480703,0.39116793354146784,0.39116793354146784,58,0.6544413351300207
algorithmic,deployment,10.05265259431926,7,0.18560927791464793,0.9914017196560688,0.4026655659140614,0.4026655659140614,62,0.6544413351300207
algorithmic,measurement,4.197411616161617,7,0.7567794491543612,0.992001599680064,0.24844846832721956,0.24844846832721956,68,0.8408660546159569
algorithmic,representation,4.265992063492065,7,0.7486811612668532,0.9924015196960608,0.2542365893931151,0.2542365893931151,66,0.8408660546159569
evaluation,measurement,1.9139533730158726,7,0.9644488542911479,0.9966006798640272,0.16901617749188463,0.16901617749188463,67,0.9644488542911478
