bias_a,bias_b,chi2,df,p_value,perm_p,cramers_v,cohens_w,N,q_value
algorithmic,representation,15.07953498163398,8,0.05761727767757115,0.9220155968806238,0.5236156637290714,0.5236156637290714,55,0.19205759225857053
algorithmic,evaluation,14.583232852840696,6,0.023758064680211983,0.9658068386322736,0.48894722724459266,0.48894722724459266,61,0.1843011564635561
measurement,representation,8.028061830145164,8,0.4307337640033129,0.9754049190161967,0.38205334777762895,0.38205334777762895,55,0.6153339485761613
algorithmic,deployment,7.337853304284677,7,0.3945701966309822,0.9778044391121775,0.3756495222197629,0.3756495222197629,52,0.6153339485761613
algorithmic,measurement,5.713131313131313,7,0.5736159677494663,0.9788042391521695,0.32526716406817063,0.32526716406817063,54,0.6946786313900389
deployment,representation,9.747132653061225,8,0.28322438553361323,0.9816036792641472,0.4288451506841439,0.4288451506841439,53,0.6102113895721316
deployment,evaluation,14.933585218702866,7,0.036860231292711224,0.9832033593281344,0.5031019915248992,0.5031019915248992,59,0.1843011564635561
evaluation,measurement,8.321428113729151,7,0.3051056947860658,0.9860027994401119,0.36934652336718793,0.36934652336718793,61,0.6102113895721316
evaluation,representation,5.041169801253834,7,0.6549389458665966,0.9894021195760848,0.28514766410195924,0.28514766410195924,62,0.6946786313900389
deployment,measurement,5.575347122013787,8,0.6946786313900389,0.9934013197360528,0.3274419244459703,0.3274419244459703,52,0.6946786313900389
