bias_a,bias_b,chi2,df,p_value,perm_p,cramers_v,cohens_w,N,q_value
deployment,representation,19.83020566649599,7,0.00594835107908782,0.9638072385522896,0.5701625547113878,0.5701625547113878,61,0.0594835107908782
evaluation,representation,14.469157807917888,8,0.07032725548698346,0.9738052389522096,0.47923811571519664,0.47923811571519664,63,0.23442418495661155
algorithmic,representation,11.355371336603008,7,0.12385155176172279,0.9776044791041791,0.4212216484636349,0.4212216484636349,64,0.30962887940430694
measurement,representation,16.682790051504472,8,0.033586976074401434,0.9814037192561488,0.5066145561318626,0.5066145561318626,65,0.16793488037200716
algorithmic,deployment,4.889542275905912,6,0.5580563641487373,0.9880023995200959,0.2785889124808033,0.2785889124808033,63,0.7494128055922453
deployment,evaluation,5.074830586080585,7,0.6508316370365861,0.9896020795840832,0.28609807099508067,0.28609807099508067,62,0.7494128055922453
algorithmic,measurement,8.096835042556966,7,0.32413263409292176,0.99000199960008,0.3476323981122418,0.3476323981122418,67,0.6482652681858435
evaluation,measurement,4.4868040966386555,7,0.7223056957895791,0.9918016396720656,0.26073335086271726,0.26073335086271726,66,0.7494128055922453
algorithmic,evaluation,5.322627314814815,7,0.6206553862583882,0.992001599680064,0.2861583024727294,0.2861583024727294,65,0.7494128055922453
deployment,measurement,4.259813389225154,7,0.7494128055922453,0.9932013597280543,0.25799144211900327,0.25799144211900327,64,0.7494128055922453
